Time,Channel A,Channel B,Channel C
(us),(V),(V),(V)

-1.00800003,0.00000000,0.00000000,0.00000000
-1.00400003,0.00000000,0.00000000,0.00000000
-1.00000003,0.00000000,0.00000000,0.00000000
-0.99600003,0.00000000,0.01605561,0.00000000
-0.99200003,0.00000000,0.00000000,0.00000000
-0.98800003,0.00000000,0.00000000,0.00000000
-0.98400003,0.00000000,0.00000000,0.00000000
-0.98000003,0.00000000,0.00000000,0.00000000
-0.97600003,0.00000000,0.00000000,0.00000000
-0.97200003,0.00000000,0.00000000,0.00000000
-0.96800003,0.00000000,0.00000000,0.00000000
-0.96400003,0.00000000,0.00000000,0.00000000
-0.96000003,0.00000000,0.01605561,0.00000000
-0.95600003,0.00000000,0.00000000,0.00000000
-0.95200003,0.00000000,0.00000000,0.00000000
-0.94800003,0.00000000,0.00000000,0.00000000
-0.94400003,0.00000000,0.00000000,0.00000000
-0.94000003,0.00000000,0.00000000,0.00000000
-0.93600003,0.00000000,0.00000000,0.00000000
-0.93200003,0.00000000,0.00000000,0.00000000
-0.92800003,0.00000000,0.00000000,0.00000000
-0.92400003,0.00000000,0.00000000,0.00000000
-0.92000003,-0.01611713,0.00000000,0.00000000
-0.91600003,0.00000000,0.00000000,0.00000000
-0.91200003,0.00000000,0.00000000,0.00000000
-0.90800003,0.00000000,0.00000000,0.00000000
-0.90400003,0.00000000,0.00000000,0.00000000
-0.90000003,0.00000000,0.00000000,0.00000000
-0.89600003,0.00000000,0.00000000,0.00000000
-0.89200003,0.00000000,0.00000000,0.00000000
-0.88800003,0.00000000,0.00000000,0.00000000
-0.88400003,-0.01611713,0.00000000,0.00000000
-0.88000003,0.00000000,0.00000000,0.00000000
-0.87600003,0.00000000,0.01605561,0.00000000
-0.87200003,0.00000000,0.00000000,0.00000000
-0.86800003,0.00000000,0.00000000,0.00000000
-0.86400003,0.00000000,0.00000000,0.00000000
-0.86000003,0.00000000,0.00000000,0.00000000
-0.85600003,0.00000000,0.00000000,0.00000000
-0.85200003,0.00000000,0.00000000,0.00000000
-0.84800003,-0.01611713,0.00000000,0.00000000
-0.84400003,0.00000000,0.00000000,0.00000000
-0.84000003,0.00000000,0.00000000,0.00000000
-0.83600003,0.00000000,0.01605561,0.00000000
-0.83200003,0.00000000,0.00000000,0.00000000
-0.82800003,0.00000000,0.00000000,0.00000000
-0.82400003,0.00000000,0.00000000,0.00000000
-0.82000003,0.00000000,0.00000000,0.00000000
-0.81600003,0.00000000,0.00000000,0.00000000
-0.81200003,0.00000000,0.00000000,0.00000000
-0.80800003,0.00000000,0.00000000,0.00000000
-0.80400003,0.00000000,0.00000000,0.00000000
-0.80000003,0.00000000,0.00000000,0.00000000
-0.79600003,0.00000000,0.00000000,0.00000000
-0.79200003,0.00000000,0.00000000,0.00000000
-0.78800003,0.00000000,0.00000000,0.00000000
-0.78400003,0.00000000,0.00000000,0.00000000
-0.78000003,0.00000000,0.01605561,0.00000000
-0.77600003,0.00000000,0.00000000,0.00000000
-0.77200003,0.00000000,0.00000000,0.00000000
-0.76800003,0.00000000,0.00000000,0.00000000
-0.76400003,0.00000000,0.00000000,0.00000000
-0.76000003,0.00000000,0.00000000,0.00000000
-0.75600003,0.00000000,0.00000000,0.00000000
-0.75200003,0.00000000,0.00000000,0.00000000
-0.74800003,0.00000000,0.00000000,0.00000000
-0.74400003,0.00000000,0.00000000,0.00000000
-0.74000003,0.00000000,0.00000000,0.00000000
-0.73600003,-0.01611713,0.00000000,0.00000000
-0.73200003,0.00000000,0.00000000,0.00000000
-0.72800003,-0.01611713,0.00000000,0.00000000
-0.72400003,0.00000000,0.00000000,0.00000000
-0.72000003,0.00000000,0.00000000,0.01605561
-0.71600003,0.00000000,0.00000000,0.00000000
-0.71200003,0.00000000,0.00000000,0.00000000
-0.70800004,0.00000000,0.00000000,0.00000000
-0.70400004,0.00000000,0.01605561,0.00000000
-0.70000004,0.00000000,0.01605561,0.00000000
-0.69600004,0.00000000,0.00000000,0.00000000
-0.69200004,0.00000000,0.00000000,0.00000000
-0.68800004,0.00000000,0.00000000,0.00000000
-0.68400004,0.00000000,0.00000000,0.00000000
-0.68000004,0.00000000,0.00000000,0.00000000
-0.67600004,0.00000000,0.00000000,0.00000000
-0.67200004,0.00000000,0.00000000,0.00000000
-0.66800004,0.00000000,0.00000000,0.00000000
-0.66400004,0.00000000,0.00000000,0.00000000
-0.66000004,0.00000000,0.00000000,0.00000000
-0.65600004,-0.01611713,0.00000000,0.00000000
-0.65200004,0.00000000,0.00000000,0.00000000
-0.64800004,-0.01611713,0.00000000,0.00000000
-0.64400004,-0.01611713,0.00000000,0.00000000
-0.64000004,0.00000000,0.00000000,0.00000000
-0.63600004,0.00000000,0.00000000,0.00000000
-0.63200004,0.00000000,0.00000000,0.00000000
-0.62800004,0.00000000,0.00000000,0.00000000
-0.62400004,-0.01611713,0.00000000,0.00000000
-0.62000004,0.00000000,0.00000000,0.00000000
-0.61600004,0.00000000,0.00000000,0.00000000
-0.61200004,0.00000000,0.01605561,0.01605561
-0.60800004,0.00000000,0.00000000,0.00000000
-0.60400004,0.00000000,0.00000000,0.00000000
-0.60000004,0.00000000,0.00000000,0.00000000
-0.59600004,-0.01611713,0.00000000,0.00000000
-0.59200004,0.00000000,0.00000000,0.00000000
-0.58800004,0.00000000,0.00000000,0.00000000
-0.58400004,-0.01611713,0.00000000,0.00000000
-0.58000004,-0.01611713,0.00000000,0.00000000
-0.57600004,0.00000000,0.00000000,0.00000000
-0.57200004,0.00000000,0.00000000,0.01605561
-0.56800004,0.00000000,0.00000000,0.00000000
-0.56400004,-0.01611713,0.00000000,0.00000000
-0.56000004,0.00000000,0.00000000,0.00000000
-0.55600004,0.00000000,0.00000000,0.00000000
-0.55200004,0.00000000,0.01605561,0.00000000
-0.54800004,0.00000000,0.01605561,0.00000000
-0.54400004,0.00000000,0.00000000,0.00000000
-0.54000004,0.00000000,0.00000000,0.00000000
-0.53600004,0.00000000,0.00000000,0.00000000
-0.53200004,0.00000000,0.01605561,0.00000000
-0.52800004,0.00000000,0.00000000,0.00000000
-0.52400004,0.00000000,0.00000000,0.00000000
-0.52000004,0.00000000,0.00000000,0.00000000
-0.51600004,0.00000000,0.00000000,0.00000000
-0.51200004,0.00000000,0.00000000,0.00000000
-0.50800004,0.00000000,0.00000000,0.00000000
-0.50400004,0.00000000,0.00000000,0.00000000
-0.50000004,0.00000000,0.00000000,0.00000000
-0.49600004,0.00000000,0.00000000,0.00000000
-0.49200004,0.00000000,0.00000000,0.00000000
-0.48800004,0.00000000,0.00000000,0.00000000
-0.48400004,0.00000000,0.00000000,0.00000000
-0.48000004,0.00000000,0.00000000,0.00000000
-0.47600004,0.00000000,0.00000000,0.00000000
-0.47200004,0.00000000,0.00000000,0.00000000
-0.46800004,0.00000000,0.00000000,0.00000000
-0.46400004,0.00000000,0.00000000,0.00000000
-0.46000004,-0.01611713,0.01605561,0.00000000
-0.45600004,-0.01611713,0.00000000,0.00000000
-0.45200004,0.00000000,0.00000000,0.00000000
-0.44800004,-0.01611713,0.00000000,0.00000000
-0.44400004,0.00000000,0.00000000,0.00000000
-0.44000004,0.00000000,0.00000000,0.00000000
-0.43600004,0.00000000,0.00000000,0.00000000
-0.43200004,0.00000000,0.00000000,0.00000000
-0.42800004,0.00000000,0.01605561,0.00000000
-0.42400004,0.00000000,0.00000000,0.00000000
-0.42000004,-0.01611713,0.00000000,0.00000000
-0.41600004,0.00000000,0.00000000,0.00000000
-0.41200004,0.00000000,0.00000000,0.00000000
-0.40800004,0.00000000,0.00000000,0.00000000
-0.40400004,-0.01611713,0.00000000,0.00000000
-0.40000004,-0.01611713,0.00000000,0.00000000
-0.39600004,0.00000000,0.00000000,0.00000000
-0.39200004,0.00000000,0.00000000,0.00000000
-0.38800004,-0.01611713,0.00000000,0.00000000
-0.38400004,0.00000000,0.00000000,0.00000000
-0.38000004,0.00000000,0.00000000,0.00000000
-0.37600004,0.00000000,0.00000000,0.00000000
-0.37200004,0.00000000,0.00000000,0.00000000
-0.36800004,0.00000000,0.00000000,0.00000000
-0.36400004,-0.01611713,0.00000000,0.00000000
-0.36000004,-0.01611713,0.00000000,0.00000000
-0.35600004,0.00000000,0.00000000,0.00000000
-0.35200005,0.00000000,0.00000000,0.00000000
-0.34800005,0.00000000,0.00000000,0.00000000
-0.34400005,0.00000000,0.00000000,0.00000000
-0.34000005,0.00000000,0.00000000,0.00000000
-0.33600005,0.00000000,0.00000000,0.00000000
-0.33200005,0.00000000,0.00000000,0.00000000
-0.32800005,0.00000000,0.00000000,0.00000000
-0.32400005,0.00000000,0.00000000,0.00000000
-0.32000005,0.00000000,0.00000000,0.00000000
-0.31600005,0.00000000,0.00000000,0.00000000
-0.31200005,0.00000000,0.00000000,0.00000000
-0.30800005,0.00000000,0.01605561,0.00000000
-0.30400005,0.00000000,0.00000000,0.00000000
-0.30000005,0.00000000,0.00000000,0.00000000
-0.29600005,0.00000000,0.00000000,0.00000000
-0.29200005,0.00000000,0.00000000,0.00000000
-0.28800005,0.00000000,0.00000000,0.00000000
-0.28400005,-0.01611713,0.00000000,0.00000000
-0.28000005,0.00000000,0.00000000,0.00000000
-0.27600005,0.00000000,0.01605561,0.00000000
-0.27200005,0.00000000,0.00000000,0.00000000
-0.26800005,0.00000000,0.00000000,0.00000000
-0.26400005,0.00000000,0.01605561,0.00000000
-0.26000005,0.00000000,0.00000000,0.00000000
-0.25600005,0.00000000,0.00000000,0.00000000
-0.25200005,0.00000000,0.00000000,0.00000000
-0.24800005,0.00000000,0.00000000,0.00000000
-0.24400005,-0.01611713,0.00000000,0.00000000
-0.24000005,0.00000000,0.00000000,0.00000000
-0.23600005,0.00000000,0.00000000,0.00000000
-0.23200005,0.00000000,0.00000000,0.00000000
-0.22800005,-0.01611713,0.00000000,0.00000000
-0.22400005,0.00000000,0.00000000,0.00000000
-0.22000005,0.00000000,0.00000000,0.00000000
-0.21600005,0.00000000,0.00000000,0.00000000
-0.21200005,0.00000000,0.00000000,0.00000000
